id_cliente,uf,municipio,segmento_cliente,natureza_juridica,fonte_cliente,cnae_codigo,capital_social,idade_cnpj,serasa_contagem_negativacoes,serasa_contagem_protestos,serasa_credores,serasa_socio_tem_negativacao,ifood_contagem_avaliacoes,ifood_faixa_preco,google_maps_avaliacao,google_maps_contagem_avaliacoes,google_maps_tem_website,inadimplente
6985643595619,CE,AQUIRAZ,Segmento 19,206-2 - Sociedade Empresária Limitada,Fonte 5,53.23-6-24,"(1000000, 10000000]","(2400, 3000]",0.0,0.0,,0.0,,,,,,0.0
6986049239576,CE,FORTALEZA,Segmento 15,213-5 - Empresário (Individual),Fonte 1,53.35-1-65,"(1500, 2000]","(50, 100]",0.0,0.0,,0.0,,,,,,0.0
6989052682840,CE,HORIZONTE,Segmento 5,213-5 - Empresário (Individual),Fonte 1,12.74-7-32,"(8000, 10000]","(350, 450]",0.0,0.0,,0.0,,,,,,0.0
6989106221455,CE,CAUCAIA,Segmento 10,213-5 - Empresário (Individual),Fonte 1,53.35-1-24,"(1500, 2000]","(50, 100]",0.0,0.0,,1.0,,,,,,1.0
6989665485170,CE,FORTALEZA,Segmento 16,213-5 - Empresário (Individual),Fonte 1,77.74-5-45,"(15000, 20000]","(5000, 8000]",0.0,0.0,,0.0,,,,,,0.0
7000565814149,CE,CAUCAIA,Segmento 16,213-5 - Empresário (Individual),Fonte 1,77.12-9-84,"(3000, 5000]","(350, 450]",0.0,0.0,,0.0,,,,,,0.0
7003989367758,CE,MARACANAU,Segmento 19,213-5 - Empresário (Individual),Fonte 5,39.15-7-73,"(1500, 2000]","(2000, 2400]",0.0,0.0,,0.0,,,,,,0.0
7007735966935,CE,MARACANAU,Segmento 16,206-2 - Sociedade Empresária Limitada,Fonte 5,77.74-5-45,"(8000, 10000]","(8000, 25000]",0.0,0.0,,0.0,,,,,,0.0
7007868667803,CE,EUSEBIO,Segmento 20,206-2 - Sociedade Empresária Limitada,Fonte 1,53.23-6-24,"(70000, 100000]","(1150, 1300]",0.0,0.0,,1.0,,,,,,1.0
7010407463082,CE,FORTALEZA,Segmento 15,206-2 - Sociedade Empresária Limitada,Fonte 1,53.23-6-84,"(15000, 20000]","(1150, 1300]",0.0,0.0,,0.0,,,,,,0.0
7012292785768,CE,FORTALEZA,Segmento 16,213-5 - Empresário (Individual),Fonte 1,41.39-4-77,"(5000, 8000]","(1300, 1600]",0.0,0.0,,1.0,,,,,,0.0
7018985449396,CE,FORTALEZA,Segmento 15,213-5 - Empresário (Individual),Fonte 1,53.35-1-24,"(1000, 1500]","(3000, 4000]",0.0,0.0,,1.0,,,,,,0.0
7019301072603,CE,FORTALEZA,Segmento 2,213-5 - Empresário (Individual),Fonte 1,53.77-2-48,"(1500, 2000]","(3000, 4000]",0.0,0.0,,0.0,,$,,,,0.0
7031350332917,CE,MARACANAU,Segmento 18,213-5 - Empresário (Individual),Fonte 1,39.87-6-23,"(3000, 5000]","(1150, 1300]",0.0,0.0,,0.0,,,,,,1.0
7033919905683,CE,FORTALEZA,Segmento 19,213-5 - Empresário (Individual),Fonte 5,53.23-6-84,"(10000, 15000]","(3000, 4000]",34.0,11.0,"Bancos e Financeiro, Alimentos e Bebidas, Bancos e Financeiro, Tecnologia e Pagamentos, Diversos, Consultoria",1.0,"(5, 10]",$$$,,,,0.0
7035096177965,CE,CAUCAIA,Segmento 16,213-5 - Empresário (Individual),Fonte 1,77.74-5-45,"(3000, 5000]","(3000, 4000]",0.0,0.0,,0.0,,,,,,0.0
7038143570351,CE,FORTALEZA,Segmento 8,213-5 - Empresário (Individual),Fonte 1,53.23-6-24,"(8000, 10000]","(3000, 4000]",0.0,2.0,,1.0,,$$$,,,,0.0
7040830649550,CE,CAUCAIA,Segmento 15,213-5 - Empresário (Individual),Fonte 5,53.23-6-24,"(3000, 5000]","(2400, 3000]",0.0,0.0,,1.0,,,,,,1.0
7045423565504,CE,CAUCAIA,Segmento 20,213-5 - Empresário (Individual),Fonte 1,53.23-6-84,"(3000, 5000]","(250, 350]",0.0,0.0,,1.0,,,,,,1.0
7048531862468,CE,FORTALEZA,Segmento 15,206-2 - Sociedade Empresária Limitada,Fonte 5,53.23-6-84,"(10000, 15000]","(250, 350]",0.0,0.0,,0.0,,,,,,0.0
7052116297410,CE,PACAJUS,Segmento 19,213-5 - Empresário (Individual),Fonte 1,53.35-1-92,"(8000, 10000]","(1150, 1300]",0.0,0.0,,0.0,,,,,,1.0
7052428745442,CE,FORTALEZA,Segmento 3,206-2 - Sociedade Empresária Limitada,Fonte 5,53.23-6-24,"(8000, 10000]","(4000, 5000]",8.0,12.0,"Alimentos e Bebidas, Distribuição",1.0,,,,,,1.0
7052863032840,CE,FORTALEZA,Segmento 15,213-5 - Empresário (Individual),Fonte 1,53.23-6-84,"(8000, 10000]","(8000, 25000]",0.0,0.0,,1.0,,,,,,1.0
