id_cliente,tier,score_A,score_B,default_prob,decision,credit_limit,expected_loss,inadimplente
1192381357102,MANUAL_REVIEW,0.0,0.8664,0.5668,AUTO-DENY,0,0.0,1
1195292632845,APPLICATION,0.0,0.4939,0.753,AUTO-DENY,0,0.0,1
1195992412028,MANUAL_REVIEW,0.0,0.9707,0.5146,AUTO-DENY,0,0.0,1
1198360055950,MANUAL_REVIEW,0.0,0.7519,0.376,AUTO-APPROVE,8000,3008.0,1
1198666809130,MANUAL_REVIEW,0.0,0.9518,0.4759,AUTO-DENY,0,0.0,1
1198669438846,MANUAL_REVIEW,0.0,0.7017,0.6492,AUTO-DENY,0,0.0,1
1198698031397,APPLICATION,0.0,0.1514,0.9243,AUTO-DENY,0,0.0,1
1204933498025,BEHAVIORAL,0.6875,0.7651,0.8041,AUTO-DENY,0,0.0,1
1207136840602,APPLICATION,0.0,0.3212,0.1606,MANUAL,0,0.0,0
1212638756996,MANUAL_REVIEW,0.0,0.8268,0.4134,AUTO-DENY,0,0.0,0
1218791540698,MANUAL_REVIEW,0.0,0.7808,0.3904,AUTO-APPROVE,8000,3123.2000000000003,0
1221781461310,APPLICATION,0.0,0.491,0.2455,MANUAL,0,0.0,0
1221973119690,MANUAL_REVIEW,0.0,0.8991,0.5505,AUTO-DENY,0,0.0,0
1224178225480,APPLICATION,0.0,0.5046,0.2523,AUTO-DENY,0,0.0,0
1224372898868,APPLICATION,0.0,0.4922,0.2461,MANUAL,0,0.0,0
1226047463366,MANUAL_REVIEW,0.0,0.9038,0.4519,AUTO-DENY,0,0.0,0
1228115362160,BEHAVIORAL,0.65,0.5299,0.3219,MANUAL,0,0.0,0
1229317836500,APPLICATION,0.0,0.5392,0.2696,AUTO-DENY,0,0.0,0
1234858644426,BEHAVIORAL,0.5115,0.9712,0.2285,AUTO-APPROVE,10000,2285.0,0
1238542708970,APPLICATION,0.0,0.3272,0.1636,MANUAL,0,0.0,0
1243078175608,APPLICATION,0.0,0.4305,0.2152,MANUAL,0,0.0,0
1244109445845,APPLICATION,0.0,0.3512,0.1756,MANUAL,0,0.0,0
1247471210968,BEHAVIORAL,0.5292,0.7422,0.1789,AUTO-APPROVE,15000,2683.5,0
1247542358971,MANUAL_REVIEW,0.0,0.9638,0.5181,AUTO-DENY,0,0.0,0
1249387761796,MANUAL_REVIEW,0.0,0.9147,0.4574,AUTO-DENY,0,0.0,0
1249563105775,MANUAL_REVIEW,0.0,0.9918,0.4959,AUTO-DENY,0,0.0,1
1254984200587,APPLICATION,0.0,0.5949,0.7025,AUTO-DENY,0,0.0,1
1256713350101,BEHAVIORAL,0.5146,0.9064,0.2736,MANUAL,0,0.0,0
1261792560389,MANUAL_REVIEW,0.0,0.8465,0.5768,AUTO-DENY,0,0.0,0
1262965214223,MANUAL_REVIEW,0.0,0.9601,0.4801,AUTO-DENY,0,0.0,0
1264419573003,APPLICATION,0.0,0.1845,0.0922,AUTO-APPROVE,12000,1106.4,0
1267319844605,BEHAVIORAL,1.0,0.5965,0.5955,AUTO-DENY,0,0.0,1
1268541245033,MANUAL_REVIEW,0.0,0.783,0.6085,AUTO-DENY,0,0.0,0
1269587952807,APPLICATION,0.0,0.3674,0.1837,MANUAL,0,0.0,0
1271550138352,APPLICATION,0.0,0.343,0.8285,AUTO-DENY,0,0.0,1
1271800812090,APPLICATION,0.0,0.4242,0.2121,MANUAL,0,0.0,0
1273622763947,MANUAL_REVIEW,0.0,0.7153,0.6424,AUTO-DENY,0,0.0,1
1273692834383,APPLICATION,0.0,0.3937,0.1969,MANUAL,0,0.0,0
1274404647504,BEHAVIORAL,0.5223,0.7992,0.5981,AUTO-DENY,0,0.0,1
1276164142001,APPLICATION,0.0,0.4503,0.2252,MANUAL,0,0.0,1
1276172787684,MANUAL_REVIEW,0.0,0.7995,0.6002,AUTO-DENY,0,0.0,0
1284745192842,BEHAVIORAL,0.95,0.6989,0.8259,AUTO-DENY,0,0.0,1
1285635582155,APPLICATION,0.0,0.5923,0.7038,AUTO-DENY,0,0.0,1
1289546063690,MANUAL_REVIEW,0.0,0.6835,0.6582,AUTO-DENY,0,0.0,1
1294730040395,APPLICATION,0.0,0.389,0.1945,MANUAL,0,0.0,0
1294875426839,MANUAL_REVIEW,0.0,0.9039,0.4519,AUTO-DENY,0,0.0,0
1295373204171,BEHAVIORAL,1.0,0.4967,0.2462,AUTO-APPROVE,10000,2462.0,0
1300080929922,MANUAL_REVIEW,0.0,0.978,0.511,AUTO-DENY,0,0.0,1
1301955505814,BEHAVIORAL,0.6,0.536,0.3278,MANUAL,0,0.0,0
1302060852574,MANUAL_REVIEW,0.0,0.9053,0.4526,AUTO-DENY,0,0.0,0
1306525577594,APPLICATION,0.0,0.4816,0.2408,MANUAL,0,0.0,0
1306806672463,APPLICATION,0.0,0.589,0.7055,AUTO-DENY,0,0.0,1
1308268535750,APPLICATION,0.0,0.3844,0.1922,MANUAL,0,0.0,0
1309291751452,APPLICATION,0.0,0.4937,0.2468,MANUAL,0,0.0,0
1313766237631,BEHAVIORAL,0.5132,0.4099,0.1187,AUTO-APPROVE,15000,1780.5,0
1314323457901,MANUAL_REVIEW,0.0,0.6724,0.3362,AUTO-APPROVE,8000,2689.6,0
1318860962013,MANUAL_REVIEW,0.0,0.8416,0.4208,AUTO-DENY,0,0.0,0
1319602569057,APPLICATION,0.0,0.3659,0.8171,AUTO-DENY,0,0.0,1
1321153598484,MANUAL_REVIEW,0.0,0.9216,0.5392,AUTO-DENY,0,0.0,1
1324128327936,MANUAL_REVIEW,0.0,0.8463,0.5769,AUTO-DENY,0,0.0,0
1324639457770,MANUAL_REVIEW,0.0,0.6273,0.6864,AUTO-DENY,0,0.0,1
1327195972317,MANUAL_REVIEW,0.0,0.8703,0.5648,AUTO-DENY,0,0.0,1
1327587380443,MANUAL_REVIEW,0.0,0.9464,0.4732,AUTO-DENY,0,0.0,0
1329495922240,BEHAVIORAL,0.5236,0.6612,0.501,AUTO-DENY,0,0.0,0
1330192184562,MANUAL_REVIEW,0.0,0.9384,0.4692,AUTO-DENY,0,0.0,0
1331460853890,BEHAVIORAL,0.5148,0.6794,0.4388,AUTO-DENY,0,0.0,0
1331520749499,APPLICATION,0.0,0.1239,0.0619,AUTO-APPROVE,20000,1238.0,0
1332233764986,MANUAL_REVIEW,0.0,0.7874,0.3937,AUTO-APPROVE,8000,3149.6,0
1336000085269,APPLICATION,0.0,0.2336,0.1168,AUTO-APPROVE,12000,1401.6,0
1342484213131,MANUAL_REVIEW,0.0,0.9153,0.5424,AUTO-DENY,0,0.0,1
1348532261009,BEHAVIORAL,0.7143,0.5502,0.0328,AUTO-APPROVE,25000,820.0000000000001,0
1349430829806,APPLICATION,0.0,0.394,0.197,MANUAL,0,0.0,0
1352965717941,APPLICATION,0.0,0.3343,0.1671,MANUAL,0,0.0,0
1353805484844,MANUAL_REVIEW,0.0,0.9283,0.4642,AUTO-DENY,0,0.0,0
1356229432458,APPLICATION,0.0,0.5378,0.2689,AUTO-DENY,0,0.0,0
1360179069124,MANUAL_REVIEW,0.0,0.8244,0.4122,AUTO-DENY,0,0.0,0
1360531302754,MANUAL_REVIEW,0.0,0.9369,0.5315,AUTO-DENY,0,0.0,0
1362325570487,MANUAL_REVIEW,0.0,0.7408,0.6296,AUTO-DENY,0,0.0,1
1366023753095,BEHAVIORAL,0.5354,0.9144,0.4839,AUTO-DENY,0,0.0,1
1369987224325,MANUAL_REVIEW,0.0,0.8307,0.5846,AUTO-DENY,0,0.0,0
1370299428020,APPLICATION,0.0,0.2305,0.1153,AUTO-APPROVE,12000,1383.6,0
1373320749199,MANUAL_REVIEW,0.0,0.6721,0.6639,AUTO-DENY,0,0.0,1
1373378829561,MANUAL_REVIEW,0.0,0.8546,0.5727,AUTO-DENY,0,0.0,1
1375575220314,MANUAL_REVIEW,0.0,0.9964,0.4982,AUTO-DENY,0,0.0,1
1376447967362,MANUAL_REVIEW,0.0,0.8949,0.4475,AUTO-DENY,0,0.0,1
1376698964001,BEHAVIORAL,0.8462,0.8192,0.1726,AUTO-APPROVE,15000,2589.0,0
1377277348131,BEHAVIORAL,0.5144,0.9689,0.1397,AUTO-APPROVE,15000,2095.5,0
1377618222119,BEHAVIORAL,0.8333,0.895,0.3615,AUTO-DENY,0,0.0,1
1381014036250,APPLICATION,0.0,0.5596,0.7202,AUTO-DENY,0,0.0,1
1381909985950,BEHAVIORAL,0.6607,0.8289,0.0313,AUTO-APPROVE,25000,782.5,0
1382961467596,BEHAVIORAL,0.5161,0.6477,0.6291,AUTO-DENY,0,0.0,1
1383960807328,BEHAVIORAL,0.5425,0.7741,0.4798,AUTO-DENY,0,0.0,0
1385668227872,BEHAVIORAL,0.6184,0.1651,0.1391,AUTO-APPROVE,15000,2086.5,0
1387028297230,MANUAL_REVIEW,0.0,0.8789,0.4394,AUTO-DENY,0,0.0,0
1391149909580,APPLICATION,0.0,0.1901,0.0951,AUTO-APPROVE,12000,1141.2,0
1392048974050,APPLICATION,0.0,0.5198,0.2599,AUTO-DENY,0,0.0,0
1392808016342,APPLICATION,0.0,0.5878,0.7061,AUTO-DENY,0,0.0,1
1396141555035,BEHAVIORAL,0.8462,0.8245,0.3677,AUTO-DENY,0,0.0,0
1398782862524,MANUAL_REVIEW,0.0,0.9628,0.5186,AUTO-DENY,0,0.0,0
1399254044253,BEHAVIORAL,0.5336,0.2304,0.2313,AUTO-APPROVE,10000,2313.0,0
1400342451100,MANUAL_REVIEW,0.0,0.9309,0.4654,AUTO-DENY,0,0.0,0
1403335927558,MANUAL_REVIEW,0.0,0.8508,0.5746,AUTO-DENY,0,0.0,0
1403882089313,MANUAL_REVIEW,0.0,0.9278,0.4639,AUTO-DENY,0,0.0,0
1404811016307,MANUAL_REVIEW,0.0,0.7931,0.3965,AUTO-APPROVE,8000,3172.0,0
1404876144500,MANUAL_REVIEW,0.0,0.8764,0.4382,AUTO-DENY,0,0.0,0
1408650466295,MANUAL_REVIEW,0.0,0.7742,0.6129,AUTO-DENY,0,0.0,0
1412446008189,BEHAVIORAL,0.875,0.2819,0.0728,AUTO-APPROVE,25000,1820.0,0
1413917726958,APPLICATION,0.0,0.4692,0.2346,MANUAL,0,0.0,0
1414254465925,APPLICATION,0.0,0.2359,0.8821,AUTO-DENY,0,0.0,1
1416674743920,MANUAL_REVIEW,0.0,0.8477,0.5761,AUTO-DENY,0,0.0,0
1417797635598,MANUAL_REVIEW,0.0,0.7284,0.6358,AUTO-DENY,0,0.0,0
1420998803108,MANUAL_REVIEW,0.0,0.7987,0.3993,AUTO-APPROVE,8000,3194.4,0
1423645997031,APPLICATION,0.0,0.4487,0.7757,AUTO-DENY,0,0.0,1
1424645975191,MANUAL_REVIEW,0.0,0.7349,0.3675,AUTO-APPROVE,8000,2940.0,0
1426319289794,MANUAL_REVIEW,0.0,0.8572,0.4286,AUTO-DENY,0,0.0,0
1429808530062,MANUAL_REVIEW,0.0,0.6098,0.6951,AUTO-DENY,0,0.0,0
1431718610009,APPLICATION,0.0,0.5012,0.2506,AUTO-DENY,0,0.0,0
1432154909644,APPLICATION,0.0,0.3937,0.1969,MANUAL,0,0.0,0
