id_cliente,orders_count,valor_min,valor_max,valor_mean,valor_median,valor_std,delay_mean,delay_max,pct_orders_delayed,last_order_date,first_order_date,recency_days,orders_per_month
1613442634681,3,250.0,750.0,583.3333333333334,750.0,288.67513459481285,8.166666666666666,22.5,1.0,2023-06-20,2023-05-27,1065,3.75
1620683778756,3,250.0,250.0,250.0,250.0,0.0,-15.333333333333334,3.0,0.6666666666666666,2023-12-07,2023-11-06,895,2.9032258064516125
1634509250621,3,250.0,250.0,250.0,250.0,0.0,1.0,1.0,1.0,2023-04-26,2023-03-22,1120,2.571428571428571
1647475067616,3,250.0,250.0,250.0,250.0,0.0,1.0,1.0,1.0,2024-10-04,2023-08-08,593,0.2127659574468085
1661331034870,3,250.0,1500.0,833.3333333333334,750.0,629.1528696058958,-16.0,1.0,0.6666666666666666,2022-08-15,2022-06-27,1374,1.836734693877551
1661978274727,3,250.0,250.0,250.0,250.0,0.0,1666681.8333333333,5000030.0,1.0,2024-01-02,2023-09-08,869,0.7758620689655172
1683026115669,3,250.0,750.0,416.6666666666667,250.0,288.67513459481285,3.3333333333333335,8.0,1.0,2022-08-15,2022-08-10,1374,18.0
1684630845454,3,250.0,250.0,250.0,250.0,0.0,-31.666666666666668,5.0,0.3333333333333333,2023-09-14,2023-08-30,979,6.0
1704005746193,3,250.0,250.0,250.0,250.0,0.0,-33.0,1.0,0.3333333333333333,2023-12-13,2023-06-01,889,0.46153846153846156
1707086606046,3,250.0,250.0,250.0,250.0,0.0,-25.833333333333332,22.5,0.3333333333333333,2024-06-19,2024-06-12,700,12.857142857142858
1714176644029,3,250.0,750.0,416.6666666666667,250.0,288.67513459481285,1.0,1.0,1.0,2023-08-09,2023-06-29,1015,2.1951219512195124
1741568939727,3,250.0,750.0,583.3333333333334,750.0,288.67513459481285,1.0,1.0,1.0,2023-10-09,2023-09-20,954,4.736842105263158
1760921908199,3,250.0,250.0,250.0,250.0,0.0,5.666666666666667,8.0,1.0,2023-11-07,2023-09-28,925,2.25
1779536744168,3,250.0,250.0,250.0,250.0,0.0,1.6666666666666667,3.0,1.0,2023-06-09,2023-05-29,1076,8.181818181818182
1842925077109,3,750.0,5001000.0,1667500.0,750.0,2886895.6835154262,2.3333333333333335,5.0,1.0,2023-06-28,2023-06-07,1057,4.285714285714286
1851265976201,3,250.0,750.0,416.6666666666667,250.0,288.6751345948129,-33.0,1.0,0.3333333333333333,2024-07-29,2023-04-06,660,0.1875
1852874555869,3,250.0,5001000.0,3334083.3333333335,5001000.0,2887184.358650021,2.3333333333333335,3.0,1.0,2022-08-31,2022-08-29,1358,45.0
1858184671168,3,250.0,250.0,250.0,250.0,0.0,1.0,1.0,1.0,2023-10-26,2023-09-25,937,2.9032258064516125
1864834069096,3,250.0,750.0,416.6666666666667,250.0,288.67513459481285,-13.333333333333334,5.0,0.6666666666666666,2024-04-02,2023-11-30,778,0.7258064516129031
1865654678772,3,250.0,250.0,250.0,250.0,0.0,-50.0,-50.0,0.0,2023-06-14,2023-05-24,1071,4.285714285714286
1882173856344,3,250.0,250.0,250.0,250.0,0.0,-33.0,1.0,0.3333333333333333,2023-07-26,2023-07-13,1029,6.9230769230769225
1888282874906,3,250.0,250.0,250.0,250.0,0.0,1.0,1.0,1.0,2024-04-23,2024-03-12,757,2.142857142857143
1890566973096,3,250.0,250.0,250.0,250.0,0.0,-33.0,1.0,0.3333333333333333,2023-03-21,2023-02-09,1156,2.25
1899972949470,3,250.0,250.0,250.0,250.0,0.0,-15.333333333333334,3.0,0.6666666666666666,2023-09-01,2023-08-17,992,6.0
1902089537551,3,250.0,250.0,250.0,250.0,0.0,-33.0,1.0,0.3333333333333333,2024-06-28,2023-06-29,691,0.24657534246575344
1931570512620,3,250.0,250.0,250.0,250.0,0.0,-29.166666666666668,12.5,0.3333333333333333,2024-07-31,2024-06-13,658,1.875
1942807589093,3,250.0,250.0,250.0,250.0,0.0,1.0,1.0,1.0,2023-06-14,2023-05-19,1071,3.4615384615384612
1947954478117,3,250.0,250.0,250.0,250.0,0.0,1.6666666666666667,3.0,1.0,2023-10-01,2023-09-18,962,6.9230769230769225
1950463580513,3,250.0,250.0,250.0,250.0,0.0,1.6666666666666667,3.0,1.0,2023-10-02,2023-08-16,961,1.9148936170212767
1966822674427,2,250.0,250.0,250.0,250.0,0.0,-24.5,1.0,0.5,2023-09-27,2023-09-20,966,8.571428571428571
1971845305510,3,5001000.0,5001000.0,5001000.0,5001000.0,0.0,-50.0,-50.0,0.0,2022-06-27,2022-06-06,1423,4.285714285714286
1984773827405,3,250.0,250.0,250.0,250.0,0.0,-16.0,1.0,0.6666666666666666,2024-04-02,2024-03-12,778,4.285714285714286
2000359023132,3,250.0,750.0,416.6666666666667,250.0,288.67513459481285,-16.0,1.0,0.6666666666666666,2023-07-24,2023-07-07,1031,5.294117647058823
2001392298070,3,250.0,1500.0,666.6666666666666,250.0,721.6878364870322,1.6666666666666667,3.0,1.0,2023-03-03,2023-01-04,1174,1.5517241379310345
2008198288046,1,250.0,250.0,250.0,250.0,,1.0,1.0,1.0,2023-08-30,2023-08-30,994,1.0
2040000698192,3,250.0,250.0,250.0,250.0,0.0,2.3333333333333335,3.0,1.0,2023-12-22,2023-11-24,880,3.2142857142857144
2047856948008,3,250.0,250.0,250.0,250.0,0.0,-14.666666666666666,3.0,0.6666666666666666,2023-07-06,2023-05-12,1049,1.6363636363636365
2053680186239,3,750.0,750.0,750.0,750.0,0.0,-50.0,-50.0,0.0,2024-10-03,2024-09-19,594,6.428571428571429
2067047908291,3,250.0,250.0,250.0,250.0,0.0,-15.333333333333334,3.0,0.6666666666666666,2023-07-21,2023-06-28,1034,3.913043478260869
2067909547210,3,250.0,250.0,250.0,250.0,0.0,-16.0,1.0,0.6666666666666666,2023-03-29,2023-03-16,1148,6.9230769230769225
